Date,Bank_Native_Country,State,Bank_Name,Ticker,Bank_Local_Currency,Bank_Type,Bank_Product,Bank_Product_Type,Bank_Product_Code,Bank_Product_Name,Minm_Balance,Maxm_Balance,Bank_Offer_Feature,Term_in_Months,Interest_Type,Interest,APY,Source
 2018-08-21,US,New York,BANK OF AMERICA CORP,BAC,USD,Bank,Deposits,CD,36MCDF,Bank of America CDs RT Organic,25000,,Offline,36.0,Fixed,,0.5499999999999999%,mybanktracker.com
 2018-08-21,US,New York,BANK OF AMERICA CORP,BAC,USD,Bank,Deposits,CD,6MCDF,Bank of America CDs RT Organic,50000,,Offline,6.0,Fixed,,0.03%,mybanktracker.com
 2018-08-21,US,New York,BANK OF AMERICA CORP,BAC,USD,Bank,Deposits,CD,12MCDF,Bank of America CDs RT Organic,50000,,Offline,12.0,Fixed,,0.05%,mybanktracker.com
 2018-08-21,US,New York,BANK OF AMERICA CORP,BAC,USD,Bank,Deposits,CD,36MCDF,Bank of America CDs RT Organic,50000,,Offline,36.0,Fixed,,0.5499999999999999%,mybanktracker.com
 2018-08-21,US,New York,BANK OF AMERICA CORP,BAC,USD,Bank,Deposits,CD,6MCDF,Bank of America CDs RT Organic,100000,,Offline,6.0,Fixed,,0.03%,mybanktracker.com
 2018-08-21,US,New York,BANK OF AMERICA CORP,BAC,USD,Bank,Deposits,CD,12MCDF,Bank of America CDs RT Organic,100000,,Offline,12.0,Fixed,,0.05%,mybanktracker.com
 2018-08-21,US,New York,BANK OF AMERICA CORP,BAC,USD,Bank,Deposits,CD,36MCDF,Bank of America CDs RT Organic,100000,,Offline,36.0,Fixed,,0.5499999999999999%,mybanktracker.com
 2018-08-21,US,New York,BANK OF AMERICA CORP,BAC,USD,Bank,Deposits,CD,6MCDF,Bank of America CDs RT Organic,500000,,Offline,6.0,Fixed,,0.03%,mybanktracker.com
 2018-08-21,US,New York,BANK OF AMERICA CORP,BAC,USD,Bank,Deposits,CD,12MCDF,Bank of America CDs RT Organic,500000,,Offline,12.0,Fixed,,0.05%,mybanktracker.com
 2018-08-21,US,New York,BANK OF AMERICA CORP,BAC,USD,Bank,Deposits,CD,36MCDF,Bank of America CDs RT Organic,500000,,Offline,36.0,Fixed,,0.5499999999999999%,mybanktracker.com
 2018-08-21,US,New York,WELLS FARGO,WFC,USD,Bank,Deposits,CD,6MCDF,Wells Fargo CDs RT Organic,1,,Offline,6.0,Fixed,,0.05%,mybanktracker.com
 2018-08-21,US,New York,WELLS FARGO,WFC,USD,Bank,Deposits,CD,12MCDF,Wells Fargo CDs RT Organic,1,,Offline,12.0,Fixed,,0.1%,mybanktracker.com
 2018-08-21,US,New York,PNC FINANCIAL SERVICES GROUP INC,PNC,USD,Bank,Deposits,CD,6MCDF,PNC CDs RT Organic,1,,Offline,6.0,Fixed,,0.04%,mybanktracker.com
 2018-08-21,US,New York,PNC FINANCIAL SERVICES GROUP INC,PNC,USD,Bank,Deposits,CD,6MCDF,PNC CDs RT Organic,1000,,Offline,6.0,Fixed,,0.06%,mybanktracker.com
 2018-08-21,US,New York,PNC FINANCIAL SERVICES GROUP INC,PNC,USD,Bank,Deposits,CD,6MCDF,PNC CDs RT Organic,10000,,Offline,6.0,Fixed,,0.08%,mybanktracker.com
 2018-08-21,US,New York,PNC FINANCIAL SERVICES GROUP INC,PNC,USD,Bank,Deposits,CD,6MCDF,PNC CDs RT Organic,25000,,Offline,6.0,Fixed,,0.1%,mybanktracker.com
